id,nombre,descripcion,precio,categoria,u_por_caja,foto1,foto2,foto3
60047,MORDILLO TRI D65134,"12,5x12,5cm",4000,JUGUETES PET-ONE,72,60047_1.jpg,,
60048,MORDILLO ANILLO D65140,11x11cm,3700,JUGUETES PET-ONE,72,60048_1.jpg,,
60049,PELOTA DEPORTE D1037,D 6cm,3200,JUGUETES PET-ONE,60,60049_1.jpg,,
60050,RUEDA S D1030-C,D 9cm,6700,JUGUETES PET-ONE,72,60050_1.jpg,,
60051,RUEDA L D1030-B,"D 13,5cm",12000,JUGUETES PET-ONE,72,60051_1.jpg,,
60060,PELUCHE LIBERTAD D25234,15x27cm,7000,JUGUETES PET-ONE,48,60060_1.jpg,,
60061,PELUCHE RELOJ D25235,9x23cm,3600,JUGUETES PET-ONE,48,60061_1.jpg,,
60062,PELUCHE LATITA D25646,8x14cm,6100,JUGUETES PET-ONE,48,60062_1.jpg,,
60063,PELUCHE MEDIALUNA D3730,20x6x4cm,7000,JUGUETES PET-ONE,48,60063_1.jpg,,
60064,PELUCHE FALSO CONEJO D25321,25x52cm,9800,JUGUETES PET-ONE,48,60064_1.jpg,,
60065,PELUCHE D25380,18x75cm,9600,JUGUETES PET-ONE,48,60065_1.jpg,,
60066,PELUCHE CERDO D25381,18x75cm,10800,JUGUETES PET-ONE,48,60066_1.jpg,,
60067,PELUCHE LEON D25383,18x75cm,10300,JUGUETES PET-ONE,48,60067_1.jpg,,
60068,PELUCHE MONO D25384,18x75cm,10300,JUGUETES PET-ONE,48,60068_1.jpg,,
60069,PELUCHE PAPA NOEL D25387,18x88cm,11700,JUGUETES PET-ONE,48,60069_1.jpg,,
60070,Caña para Gato´´CT88904´´,39cm,2700,JUGUETES PET-ONE,72,60070_1.jpg,,
60071,Caña para Gato Ratón´´CT88905´´,39cm,1800,JUGUETES PET-ONE,72,60071_1.jpg,,
60072,Set Pelotas Para Gatos´´CT86907´´,5cm,1600,JUGUETES PET-ONE,72,60072_1.jpg,,
60073,Raton y Pez Catnip´´CT84102´´,8cm,2100,JUGUETES PET-ONE,72,60073_1.jpg,,
60074,Set Ratones Catnip´´CT8534´´,5cm,2300,JUGUETES PET-ONE,72,60074_1.jpg,,
60075,Caña para Gato Pelota´´CT1136´´,45cm,1700,JUGUETES PET-ONE,72,60075_1.jpg,,
60076,Raton Plumón´´CT1045´´,5cm,2000,JUGUETES PET-ONE,72,60076_1.jpg,,
60077,Raton Con Pelota´´CT85900´´,6+4cm,1900,JUGUETES PET-ONE,72,60077_1.jpg,,
60078,Caña para Gato Plumas´´CT11309´´,39cm,1800,JUGUETES PET-ONE,72,60078_1.jpg,,
60079,Tripluma Catnip´´CT1172´´,11cm,1800,JUGUETES PET-ONE,72,60079_1.jpg,,
60080,Bolso Transportador´´PTB2014L´´,50x22xH28cm,14200,JUGUETES PET-ONE,72,60080_1.jpg,,
60081,"Neumastic ""L""´´RT243L´´",15cm,6500,JUGUETES PET-ONE,72,60081_1.jpg,,
60082,"Neumastic ""S""´´RT243S´´",10cm,2900,JUGUETES PET-ONE,72,60082_1.jpg,,
60083,"Chancho Latex ""L""´´LT1024L´´",22cm,7600,JUGUETES PET-ONE,72,60083_1.jpg,,
60084,"Chancho Latex ""S""´´LT1024S´´",15cm,4800,JUGUETES PET-ONE,72,60084_1.jpg,,
60085,Cerdito Latex´´LT1214´´,8cm,3000,JUGUETES PET-ONE,72,60085_1.jpg,,
60086,"Futbol Latex ""L""´´LT2093L´´",12cm,6100,JUGUETES PET-ONE,72,60086_1.jpg,,
60087,"Futbol Latex ""S""´´LT2093´´",7cm,3000,JUGUETES PET-ONE,72,60087_1.jpg,,
60088,Pato Plush´´M1717-10´´,25cm,7100,JUGUETES PET-ONE,72,60088_1.jpg,,
60089,Aro TPR´´TP1002´´,"7,5cm",1000,JUGUETES PET-ONE,144,60089_1.jpg,,
60090,Anillo TPR´´TP1003´´,8cm,900,JUGUETES PET-ONE,144,60090_1.jpg,,
60091,"Hueso Con Chifle ""S""´´TP1069M´´",13cm,2300,JUGUETES PET-ONE,72,60091_1.jpg,,
60092,"Hueso Con Chifle ""L""´´TP1069S´´",15cm,3000,JUGUETES PET-ONE,72,60092_1.jpg,,
60093,Futbol TPR Con Soga´´TP1079´´,9cm,3000,JUGUETES PET-ONE,72,60093_1.jpg,,
60094,"Rueda Con Soga ""L""´´TPZ834L´´",12+25cm,6300,JUGUETES PET-ONE,72,60094_1.jpg,,
60095,"Rueda Con Soga ""S""´´TPZ834S´´",9+25cm,4100,JUGUETES PET-ONE,72,60095_1.jpg,,
60096,GuauFritas´´VT4003´´,"9,5cm",1900,JUGUETES PET-ONE,72,60096_1.jpg,,
60098,Burger Masticable´´VT4051´´,"9x5,5cm",1900,JUGUETES PET-ONE,72,60098_1.jpg,,
60099,Patita Masticable´´VT4093´´,"13x5,5cm",1800,JUGUETES PET-ONE,72,60099_1.jpg,,
60100,Cocodrilo Latex´´LT1007M´´,19cm,3400,JUGUETES PET-ONE,72,60100_1.jpg,,
60101,Rugby Latex´´LT4241´´,9cm,2900,JUGUETES PET-ONE,72,60101_1.jpg,,
60102,Pelota Plush ´´M1839´´,13cm,5700,JUGUETES PET-ONE,72,60102_1.jpg,,
60103,Papas Plush´´M3150´´,15x15cm,3000,JUGUETES PET-ONE,72,60103_1.jpg,,
60104,Chupete TPR´´TP1045´´,15x5cm,1600,JUGUETES PET-ONE,72,60104_1.jpg,,
60105,Hueso TPR espumoso´´TP1311´´,15cm,3500,JUGUETES PET-ONE,72,60105_1.jpg,,
60106,Palo TPR Espumoso´´TP1312´´,16cm,2700,JUGUETES PET-ONE,72,60106_1.jpg,,
60107,Pelota TPR Espumosa´´TP1313´´,7cm,3500,JUGUETES PET-ONE,72,60107_1.jpg,,
60108,Bola TPR Espumosa´´TP1314´´,"9,5cm",3700,JUGUETES PET-ONE,72,60108_1.jpg,,
60109,Helado TPR Frio ´´TP2374´´,8x14cm,3700,JUGUETES PET-ONE,72,60109_1.jpg,,
60110,Chupete TPR Frio ´´TP2375´´,8x13cm,3700,JUGUETES PET-ONE,72,60110_1.jpg,,
60111,Pelota TPR Con Soga´´TP2481´´,35x8cm,3800,JUGUETES PET-ONE,72,60111_1.jpg,,
60112,Rueeda TPR Con Soga´´TP2484´´,8x8x8cm,5500,JUGUETES PET-ONE,72,60112_1.jpg,,
60113,Doble Pelota Basquet´´VT3060L´´,20cm,2700,JUGUETES PET-ONE,72,60113_1.jpg,,
60114,"Doble Pelota Futbol ""L""´´VT3061L´´",20cm,2700,JUGUETES PET-ONE,72,60114_1.jpg,,
60115,"Doble Pelota Futbol ""S""´´VT3061XS´´",14cm,1500,JUGUETES PET-ONE,72,60115_1.jpg,,
60116,Rueda ´´VT3278´´,"8,5cm",2300,JUGUETES PET-ONE,72,60116_1.jpg,,
